French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
French: Pourtant, tu me connais, je suis exigeant sur la cuisine! = English: And you know me... I have high standards when it comes to food!	Je trouve que beaucoup d'entre eux sont trop tirés par les cheveux pour être crédibles.	Je trouve que beaucoup d'entre eux sont trop tirés par les cheveux pour être crédibles.
English: That's good. = French: C'est bien.	Oh regardez, il y a un héron là-bas.	Oh regarde, est-ce que c'est un héron là-bas.
French: Oui j'en faisais beaucoup, mais après l'accident que je viens de voir je ne suis pas sure d'en refaire de si tot ! = English: Yes, I did cycle a lot, but after the accident I've just seen I'm not sure I'm going to any time soon!	Je trouve ça cool.	Je trouve ça cool.
French: Je vous laisse faire? = English: Shall I leave you to it?	J'ai été très déprimé et elles affectent sérieusement ma mémoire et me font dormir.	Je suis très déprimé, et ils affectent ma mémoire et me rendent très somnolent.
French: Allez-y, commençons la partie = English: Ok then, let's start.	J'espère que ça va se calmer car parfois ça m'empêche de dormir.	J'espère que ça va se calmer bientôt parce que ça me réveille parfois.
French: Bon courage. = English: Good luck.	On doit juste faire confiance à l'anesthésiste.	Vous devez
English: Don't put your back out getting out of the chair. = French: Ne te coince pas le dos en te levant de ta chaise.	Ah oui, elle serait de bonne compagnie.	Ah oui, elle serait amusante.
English: I don't know where to begin. = French: Je ne sais pas où commencer.	Je ne suis pas ivre, je tiens encore debout !	Je ne suis pas saoul, je tiens encore debout!
French: je connais plusieurs bars, qui pourraient très bien accueillir 30 personnes = English: I know several bars that could accommodate 30 people.	Vous savez, une excellente façon d'améliorer les relations au travail est d'organiser un événement informel.	Vous savez, une excellente façon d'améliorer les relations de travail est d'organiser une réunion informelle.
French: Oui, absolument. = English: Yes, definitely.	Il y a des stades pour ce genre de manigances.	il y a des stades pour ce genre de truc
English: Or just at certain times? = French: Ou seulement par moments ?	Il imagine des choses qui auraient pu arriver à une vraie bande de contrebandiers et incorpore quelques découvertes récentes de squelettes emmurés.	Il imagine des choses qui auraient pu arriver à un vrai gang de contrebandiers et intègre quelques récentes découvertes de squelettes enterrés dans des murs.
French: envoie moi le lien = English: Send me the link.	Et tu sais à quel point j'aime le beurre, le fromage et les plats riches et goûteux.	Et vous savez combien j'aime le beurre et le fromage et les aliments riches et délicieux.
English: How may I assist you? = French: Comment puis-je vous aider ?	Espérons qu'ils ne se noieront pas en mangeant, ce serait un déjeuner bien triste pour eux.	J'espère qu'ils ne vont pas couler en mangeant, ce serait un triste déjeuner pour eux.
English: When she was at home yes, but I remember her being away from home a lot. = French: Quand elle était à la maison, oui. Mais je me souviens qu'elle partait souvent loin de la maison.	Oui, c'est du poulet cuit dans une délicieuse sauce à la crème recouvert de pâte.	Oui, c'est du poulet cuit dans une sauce crémeuse et enveloppé dans de la pâte.
French: Tu es vraiment incroyable = English: You are really unbelievable.	Je vais voir une amie.	Je visite un ami.
English: I just thought you’d like the chance to defend yourself before going before the board of governors. = French: Je me suis juste dit que vous aimeriez avoir une chance de vous défendre avant de vous présenter devant le conseil d'administration.	Pensez-vous que nous devrions revenir par le chemin que nous avons pris pour rentrer dans cette forêt ?	Pensez-vous que nous devrions retourner par le chemin par lequel nous sommes entrés dans la forêt?
English: The strong vibrations = French: Les vibrations fortes.	Super.	Très bien.
English: Only a jacket and a scarf. = French: Seulement une veste et une écharpe.	Eh bien, comme vous m'avez posé des questions sur les légumes, je n'ai fait de propositions que pour les légumes, pas les autres accompagnements.	Bien que vous ayez demandé des légumes, je n'ai donné que mon choix de légumes, pas d'accompagnements.
French: Je ne vais pas pouvoir téléphoner. = English: I won't be able to call.	Je ne peux pas prendre de congés et j'aime être heureux.	Je ne peux pas prendre de congé et j'aime être heureux.
English: But maybe they'll be up for a bit of karaoke later. = French: Mais peut-être qu'ils seront partants plus tard pour un karaoké.	Jouer avec moi... vous... vous...	Jouer avec moi... vous... vous...
English: Do you have colleagues who feel stressed like you? = French: Est-ce que vous avez des collègues qui se sentent stressés comme vous ?	Oh non... la batterie vient de s'éteindre.	Oh non...il vient de se décharger.
French: essayons = English: Let's try.	Mon travail.	Mon travail.
English: They're bringing the duty free round soon. = French: Ils vont bientôt passer pour le duty free.	Ne tombez pas.	Ne tombez pas dedans.
English: we can do all of our burgers without onions if you prefer = French: Nous pouvons faire tous nos burgers sans oignons si vous préférez.	Je suis contente d'être rentrée.	Je suis si heureux d'être à la maison.
French: C'est vrai qu'on passe trop de temps devant la télé. = English: Yes, we do spend too much time in front of the TV.	Tout simplement je n'apprécie plus toutes les choses que j'aimais faire avant.	Je n'aime plus faire les choses que j'aimais faire avant.
English: Sorry, no. = French: Non, désolé.	Il est plutôt calme.	c'est plutôt calme.
French: Ainsi qu'à Mexico. = English: And to Mexico.	Reviens aussi vite que possible.	Venez le plus tôt
English: Are they familiar to you? = French: Est-ce qu'ils vous sont familiers ?	Votre ton ne semblait pas très accueillant.	Votre ton semblait peu accueillant.
French: Vous partez en vacances? = English: Are you off on holiday?	Je ne suis pas sûr que toutes vos citations étaient pertinentes.	Pas toutes vos citations étaient entièrement pertinentes, je crains.
English: Is that why it's so popular? = French: Est-ce que c'est pour ça que ça a tant de succès ?	Ne laisse pas le chat s'approcher !	Ne laissez pas le chat sortir du sac !
French: Pour que les enfants des quartiers ouest rencontrent ceux des quartiers est. = English: So the children from the west of town can meet those from the east of town.	Prends des photos.	Prenez des photos.
English: A crisp dry rose will go perfectly. = French: Un rosé frais et sec se mariera très bien avec.	Ah, donc c'est probablement une bonne chose que je n'aie pas réussi à l'attraper.	Oh, c'est probablement une bonne chose que je ne l'ai pas attrapé alors.
French: Et comment vous sentez-vous? = English: And how do you feel?	Un flat white ?	Un café au lait?
English: They're mallards and coots. = French: Ce sont des colverts et des foulques.	Je ne suis pas certaine de ce que vous voulez dire, mais il pourrait y avoir une police olfactive à l'entrée !	Je ne sais pas ce que vous voulez dire mais je pense qu'il y a la police à l'entrée!!
French: Je me sentais plus chez moi. = English: I felt more at home.	Est-ce que ça devient plus facile au fil du temps ?	Ça devient plus facile?
French: Ça ne te dérangerait pas? = English: You don't mind, do you?	Je travaille au service commercial, principalement pour le pétrole brut.	Je travaille dans le département des achats, surtout pour le pétrole brut
English: The garlic needs roasting = French: L'ail doit être rôti.	Qui pense qu'il est parfait et même un peu plus.	se croire le roi du monde avec une cerise sur le gâteau.
English: Certainly, sir. = French: Certainement, Monsieur.	Tu ne devineras jamais qui j'ai rencontré à la braderie de l'église samedi dernier - Simon !	Vous ne devinerez jamais qui j'ai rencontré à la vente de l'église samedi dernier - Simon!
French: Je suis désolé de vous embêter avec ça, mais j'ai vraiment peur = English: I'm sorry to bother you like this, but I'm really scared.	J'en prendrai un autre double, s'il vous plaît.	J'ai une autre double s'il vous plaît.
French: Tu en as lu ? = English: Have you read them?	Je ne sais pas trop ce que c'est qu'un « punch punch », mais pourquoi pas !	Ah je ne suis pas sûr de savoir ce qu'est un punch punch, mais pourquoi pas!
English: I have played a little in the past. = French: J'en ai fait un peu dans le passé.	J'espère que tu n'as pas été mouillé.	J'espère que tu n'as pas été mouillé.
French: Etiez-vous déjà inquiète avant de rentrer dans mon cabinet ? = English: Were you already worried before coming into my practice?	C'est merveilleux.	C'est merveilleux.
English: I'm not usually organised but I remembered the basics this time. = French: Je ne suis généralement pas bien organisée mais je me suis rappelée des bases cette fois-ci.	Ce que je trouve fascinant à son sujet c'est la question de savoir ce qu'elle a fait quand elle a disparu et que certaines personnes ont pensé qu'elle s'était suicidée.	Ce qui me fascine chez elle, c'est la question de ce qu'elle a fait quand elle a disparu et que certaines personnes ont pensé qu'elle s'était suicidée.
French: Quels fruits tu préfères? = English: What are your favourite fruits?	Les retards de chantiers ? De quoi s'agit-il ?	Les retards de construction, c'est quoi tout ça?
French: des confitures ? = English: Jams?	Pendant 5 générations ?	Pour 5 générations?
French: Peut-être que les pilules sont fortes. = English: Maybe the pills are strong.	Vous faites référence à une supérieure au travail ?	Est-ce que vous parlez d'un supérieur au travail?
French: Elle va vous apporter un verre d'eau. = English: She'll bring you a glass of water.	Je me sens un peu nerveuse pour être honnête.	Je suis un peu nerveux, je dois dire.
French: Bon en général je sers des acras de morue et des chips de patates douces avec ce cocktail. = English: Well, usually I serve that cocktail with spicy cod fish cakes and sweet potato crisps.	Mets-y toi et commence à préparer les légumes pour ce soir.	Allez, on se met au boulot et on prépare les légumes pour ce soir.
English: I'm not friends with Jeannine anymore. = French: Jeannine et moi ne sommes plus amies.	Bon courage.	Bon courage.
French: Le hurlement du loup ? = English: The wolf howling?	Je m'en fous.	je m'en fiche
French: Il était faché contre toi ? = English: He was angry at you?	Oh non !	Oh non!
