French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: Mais toi aussi tu aimes bien quelques verres de bon vin français pour l'apéro = English: But you too like several glasses of French wine before dinner.	You have to make the most of life!	You have to enjoy life!
French: Mais tu peux aller me chercher une boisson si tu veux. = English: But you could get me a drink if you like.	Ok, but only if you put down your book.	Ok, but only if you drop your book.
French: Pensez-vous que j'ai raison à ce sujet ? = English: Do you think I am right about that?	Obesity has become a worldwide problem.	Obesity has become a global problem.
French:  = English: 	Good evening Miss!	Good evening miss
French: J'ai un teint assez pâle naturellement, c'est tout. = English: I just have a naturally pale complexion, that's all.	You're the one who looks really stressed.	It seems to me that you are really stressed.
French: Un instrument en bois, je suppose. = English: A wooden one I suppose...	We could make a tom-tom, but we would need bison skin!	We can make a tam tam but we would need bison skin!
French: Partez et réfléchissez à vos priorités et à ce que vous voulez accomplir, et couchez-vous tôt ! = English: Just go away and think about your priorities and what you want to achieve, and get to bed early!!	Thank you, Miss. Can I sign the register first?	Thank you, Madam, can I sign the attendance sheet first?
French: Parfum, photos, accueil, tout cela me convient bien mieux que de finir au fourneau ! = English: Perfume, photos and reception all suit me better than ending up at the stove!	I refuse!	I refuse!
French:  = English: 	Hello Maria, how are you?	Hello Maria, how are you?
French: Avez-vous quelque chose à manger ou à boire ? = English: Do you hae any food or drink with you?	Yes, I always have water in my bag.	Yes, I always hae water in my bag.
French: Je n'en peux plus et je ne suis pas le seul dans ce cas. = English: I can't take it anymore and I'm not alone in feeling like this.	And he is constantly harassing my female friends.	Besides, he is always harassing my friends.
French: Je suis désolée, je ne voulais pas appuyer sur « envoyer ». = English: I'm sorry I didn't mean to press 'send'	Oh no, not at all, it's a play on frames.	No, not at all, it's a game of lenses.
French: Comme ça, je ne mourrai jamais de faim. = English: That way I'll never starve.	Stop saying silly things. They'd never do that.	Stop saying nonsense, they wouldn't do that.
French: Je crois qu'il va y avoir un bingo bientôt. = English: I think there will be bingo soon	Great, bingo.	great, bingo
French: Je pense qu'il veut parler de ma promotion. = English: I think he wants to talk about my promotion.	Great!	Great!
French: Oh lalaa ! = English: Dearie me no!	No garlic.	No garlic.
French: Moi aussi, j'aime bien venir souvent dans ce parc. = English: Me too. I like coming to this park often.	I find the place really calm.	I think the place is really quiet.
French: Ça ne sert à rien d'être grognon à la maison. = English: There is no point being grumpy at home	I had a simple goal and I'm not going to be able to put it right.	I had a simple goal, and I won't be able to correct my shot
French: Quel cocktail veux-tu ? = English: What cocktail would you like?	Oh, I'd like a mojito please!	Ah, I would like a mojito, please!
French: J'ai un peu d'eau si vous voulez. = English: I've got some water if you want.	It is very hot...	It's true that it's very hot....
French:  = English: 	Hi!	Hello!
French: Emma est en terminale scientifique au lycée. = English: Emma is in her final year at college doing sciences.	She's taking her final exams this year.	She is taking her baccalaureate this year.
French: c'est un principe = English: By principle.	However, you were lucky. I managed to do my homework in advance last Thursday	By the way, you have a good luck, I could do my homework in advance last Thursday.
French:  = English: 	Hello.	Hello
French: Merci de beaucoup parler. = English: Please do talk a lot.	It's important for me to analyse your anxiety.	It's important for me to analyze your concern.
French: Est-ce que ce serait possible que vous étendiez la deadline pour moi, disons deux semaines de plus ? = English: Would it be possible for you to give me an extension to the deadline, say another two weeks?	Ok.	Okay.
French: Il y a bien quelques problèmes. = English: There are indeed a couple of problems.	It's a bit heavy going.	It's a bit heavy to carry.
French: Où irez-vous quand nous serons sortis d'ici ? = English: Where will you go when we finally get out of here?	It just happens that I have the plans I am to show you tomorrow morning.	I have precisely the plans that I need to show you tomorrow.
French: Attendez! = English: Wait!	They serve excellent petits fours after take-off.	They serve excellent small cakes after takeoff.
French: Pourriez-vous servir des cacahouètes avant midi car j'ai un petit creux ? = English: Can you serve peanuts before noon, as I'm feeling a bit peckish?	I suggest you take a break from alcohol.	I suggest you take a break from alcohol
French: La présentation, c'est important, n'est-ce pas ? = English: Presentation is important, isn’t it?	Absolutely.	Absolutely.
French: Noir et blanc ? = English: Black and white?	That's a good idea!	that's a good idea!
French: Parfois ils font payer le lieu pour les fêtes. = English: Sometimes they charge for the space for the party.	Yes, it'll give the opportunity to see whether the place is suitable.	Yes, it would allow you to see if the place suits you.
French: Bon voyage à vous également. = English: Have a good trip too!	Have fun with your daughter!	Enjoy your daughter!
French: Mais qu'est-ce que c'est que « la Vache Qui Rit » ? = English: What on earth is "the Vache Who Rit?"	A bit of both.	A bit of both
French: Ah cela me fait bien plaisir de savoir que ta santé est bonne. = English: Ah I'm glad to hear you're in good health.	Yes, I'd like a coffee.	Yes, I'll have a coffee.
French: Une petite voix féminine, presque enfantine, qui commente parfois ce que je suis en train de faire. = English: A little feminine voice, almost childlike, which sometimes gives a running commentary on what I'm doing.	It's often to criticise me.	Often, it's to criticize me.
French: j'avais un objectif simple, et je ne vais pas pouvoir rectifier le tir = English: I had a simple goal and I'm not going to be able to put it right.	It's a real shame.	it's really a pity.
French: Oui tout à fait. = English: Yes, exactly.	I'm talking about the head of my service.	I am talking about the head of my department.
French: Je préfère les légumes et les poissons / crustacés. = English: I prefer vegetables and fish/shellfish.	I prefer ducks in the pond to on my plate!	Ducks - I prefer them in the pond than in my plate!
French:  = English: 	Hello Madame.	Hello Madam.
French: À quelle distance de lui habites-tu ? = English: How far do you live from him?	A bit, yes. That's why it was surprising!	yes, rather, that's why it was surprising!
